start_date,end_date,site_name,deployment_id,longitude,latitude,log_roaddist,Canopy_height
2023-10-05,2023-11-03,NY_Anthropogenic_NYC_23_loc53,NY_Anthropogenic_NYC_23_loc53 10/05/2023,-73.920763,40.591501,5.215351831323075,0
2023-09-28,2023-11-02,NY_Anthropogenic_NYC_23_loc54,NY_Anthropogenic_NYC_23_loc54 09/28/2023,-73.892653,40.906669,5.666214649191471,19
2023-09-28,2023-11-02,NY_Anthropogenic_NYC_23_loc55,NY_Anthropogenic_NYC_23_loc55 09/28/2023,-73.881287,40.90424,5.310052292246922,21
2023-09-22,2023-10-17,NY_Anthropogenic_NYC_23_loc56,NY_Anthropogenic_NYC_23_loc56 09/22/2023,-73.968233,40.776044,4.504672471452195,23
2023-09-22,2023-10-31,NY_Anthropogenic_NYC_23_loc57,NY_Anthropogenic_NYC_23_loc57 09/22/2023,-73.926426,40.876113,3.836348133795539,21
2023-09-26,2023-10-31,NY_Anthropogenic_NYC_23_loc58,NY_Anthropogenic_NYC_23_loc58 09/22/2023,-73.927723,40.870537,4.924448261548262,24
2023-09-01,2023-11-01,NY_Anthropogenic_NYC_23_loc59,NY_Anthropogenic_NYC_23_loc59 09/01/2023,-73.92741,40.85004,3.820518360946638,18
2023-09-13,2023-11-28,NY_Anthropogenic_NYC_21_loc01,NY_Anthropogenic_NYC_23_loc01 09/13/2023,-73.91437,40.89256,3.4867417112547763,22
2023-09-20,2023-11-28,NY_Anthropogenic_NYC_21_loc02,NY_Anthropogenic_NYC_23_loc02 09/20/2023,-73.91218,40.89323,3.5241446542700547,20
2023-09-13,2023-11-29,NY_Anthropogenic_NYC_21_loc03,NY_Anthropogenic_NYC_23_loc03 09/13/2023,-73.91566,40.89881,4.697674194812454,6
2023-09-28,2023-11-01,NY_Anthropogenic_NYC_22_loc09,NY_Anthropogenic_NYC_23_loc09 09/28/2023,-73.805233,40.865285,4.258451791385081,19
2023-09-29,2023-11-01,NY_Anthropogenic_NYC_22_loc10,NY_Anthropogenic_NYC_23_loc10 09/29/2023,-73.791203,40.875809,6.206277395649016,18
2023-10-05,2023-11-01,NY_Anthropogenic_NYC_21_loc12,NY_Anthropogenic_NYC_23_loc12 10/05/2023,-73.834521,40.808533,4.083372464821474,3
2023-10-05,2023-10-23,NY_Anthropogenic_NYC_21_loc13,NY_Anthropogenic_NYC_23_loc13 10/05/2023,-73.851326,40.811992,4.698025311157784,16
2023-10-05,2023-11-01,NY_Anthropogenic_NYC_21_loc14,NY_Anthropogenic_NYC_23_loc14 10/05/2023,-73.863934,40.811554,4.97844940486585,0
2023-10-04,2023-11-03,NY_Anthropogenic_NYC_21_loc19,NY_Anthropogenic_NYC_23_loc19 10/04/2023,-73.766335,40.730533,4.7401090368512016,19
2023-10-04,2023-11-03,NY_Anthropogenic_NYC_22_loc30,NY_Anthropogenic_NYC_23_loc30 10/04/2023,-73.765283,40.741196,4.016634632058792,24
2023-10-04,2023-11-03,NY_Anthropogenic_NYC_22_loc31,NY_Anthropogenic_NYC_23_loc31 10/04/2023,-73.744821,40.759781,4.746733481295059,13
2023-10-04,2023-11-03,NY_Anthropogenic_NYC_22_loc32,NY_Anthropogenic_NYC_23_loc32 10/04/2023,-73.723695,40.749009,5.163785135202252,22
2023-10-04,2023-11-03,NY_Anthropogenic_NYC_22_loc33,NY_Anthropogenic_NYC_23_loc33 10/04/2023,-73.824953,40.711288,1.9154813091595424,9
2023-10-04,2023-11-03,NY_Anthropogenic_NYC_22_loc34,NY_Anthropogenic_NYC_23_loc34 10/04/2023,-73.840645,40.70813,1.8374949755822376,24
2023-10-04,2023-11-03,NY_Anthropogenic_NYC_22_loc35,NY_Anthropogenic_NYC_23_loc35 10/04/2023,-73.850402,40.703826,4.524874122700486,24
2023-10-05,2023-11-03,NY_Anthropogenic_NYC_22_loc36,NY_Anthropogenic_NYC_23_loc36 10/05/2023,-73.885695,40.686462,5.551071376650617,24
2023-09-28,2023-10-19,NY_Anthropogenic_NYC_22_loc42,NY_Anthropogenic_NYC_23_loc42 09/28/2023,-73.800786,40.874453,5.051817023857743,23
2023-09-22,2023-10-26,NY_Anthropogenic_NYC_22_loc45,NY_Anthropogenic_NYC_23_loc45 09/23/2023,-73.958339,40.794966,2.126487613492799,21
2023-09-28,2023-11-02,NY_Anthropogenic_NYC_21_loc06,NY_Anthropogenic_NYC_23_loc49 09/28/2023,-73.876246,40.899037,4.888642435986721,21
